                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                   1.12,                0.56615,                0.99887,                0.73195,                0.65068,                 0.7002,                0.42466,                 1.3496,                 1.2829,                 1.4271,              0.0081784,              0.0081784,              0.0081784
                     95,                 1.1131,                0.56328,                 0.9927,                  0.777,                0.63158,                0.70574,                0.42687,                 1.3482,                 1.2301,                 1.4251,              0.0081586,              0.0081586,              0.0081586
                     96,                 1.1168,                 0.5552,                0.99069,                0.71222,                0.65495,                0.69708,                0.42318,                 1.3448,                 1.2639,                 1.4165,              0.0081388,              0.0081388,              0.0081388
                     97,                  1.115,                0.55591,                0.99351,                0.72308,                0.62538,                0.67252,                0.40686,                  1.355,                 1.4083,                 1.4367,               0.008119,               0.008119,               0.008119
                     98,                 1.0919,                0.54851,                0.99119,                0.78896,                0.59104,                0.68175,                0.41994,                  1.364,                 1.3301,                 1.4433,              0.0080992,              0.0080992,              0.0080992
                     99,                 1.0973,                 0.5544,                0.99358,                 0.7241,                0.62258,                0.66522,                0.40452,                 1.3856,                 1.5115,                 1.4642,              0.0080794,              0.0080794,              0.0080794
                    100,                 1.1021,                0.55402,                0.98779,                0.74698,                0.64032,                0.68771,                0.41957,                 1.3732,                 1.2678,                 1.4458,              0.0080596,              0.0080596,              0.0080596
                    101,                 1.0888,                0.54379,                0.98971,                0.74614,                0.61309,                0.68442,                0.41637,                 1.4011,                 1.2993,                  1.462,              0.0080398,              0.0080398,              0.0080398
                    102,                 1.0977,                0.54966,                0.98095,                 0.7487,                0.61113,                 0.6817,                0.41255,                 1.3753,                  1.318,                 1.4506,                0.00802,                0.00802,                0.00802
                    103,                 1.0837,                0.54182,                 0.9822,                0.72427,                0.63994,                0.68783,                0.42062,                  1.372,                 1.3512,                 1.4479,              0.0080002,              0.0080002,              0.0080002
                    104,                 1.0804,                0.54074,                0.98033,                0.76383,                0.61324,                0.68363,                0.41815,                 1.3729,                 1.4153,                 1.4446,              0.0079804,              0.0079804,              0.0079804
                    105,                 1.0737,                0.53902,                0.97593,                0.72102,                0.64495,                 0.6849,                0.41561,                 1.3746,                 1.3797,                  1.446,              0.0079606,              0.0079606,              0.0079606
                    106,                 1.0705,                0.53451,                0.97427,                0.76655,                0.62477,                0.69842,                0.42529,                 1.3789,                 1.3226,                 1.4542,              0.0079408,              0.0079408,              0.0079408
