               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.060434,            0.062709,           0.0010653,              0.7409,             0.61122,             0.66534,             0.36046,            0.050356,            0.064058,           0.0049228,            0.009217,            0.009217,            0.009217
                  89,            0.060367,            0.062957,           0.0010126,             0.73626,             0.62034,             0.67204,             0.36262,            0.049211,            0.060444,           0.0053539,            0.009208,            0.009208,            0.009208
                  90,            0.059189,            0.063649,          0.00092157,             0.73039,             0.63464,             0.67276,             0.36839,            0.049136,            0.061946,           0.0053395,            0.009199,            0.009199,            0.009199
                  91,            0.058776,             0.06361,          0.00095976,              0.7492,             0.63741,              0.6911,             0.37874,            0.048335,            0.058893,           0.0040391,             0.00919,             0.00919,             0.00919
                  92,            0.058723,            0.064139,          0.00087381,             0.75167,             0.64899,             0.69461,             0.37659,            0.048527,              0.0617,           0.0048205,            0.009181,            0.009181,            0.009181
                  93,            0.059148,            0.064117,           0.0010029,             0.72945,             0.57724,             0.61624,             0.32857,            0.051472,            0.065334,           0.0043332,            0.009172,            0.009172,            0.009172
                  94,            0.059784,            0.064186,           0.0010466,             0.75767,             0.62707,             0.68004,             0.36709,              0.0506,            0.061437,           0.0044812,            0.009163,            0.009163,            0.009163
                  95,            0.059225,            0.063542,           0.0010008,             0.74968,             0.64228,             0.69047,             0.38256,             0.04952,            0.059102,            0.004215,            0.009154,            0.009154,            0.009154
                  96,            0.059287,            0.063306,          0.00086703,             0.72893,             0.61463,             0.66373,             0.36401,              0.0497,            0.063236,           0.0051678,            0.009145,            0.009145,            0.009145
                  97,            0.058251,            0.062019,          0.00087641,             0.76222,             0.59927,             0.66714,             0.36099,            0.049096,            0.061253,           0.0041089,            0.009136,            0.009136,            0.009136
                  98,            0.058902,            0.062386,          0.00088567,             0.75471,             0.66227,             0.71185,             0.39733,            0.048137,            0.059347,           0.0044324,            0.009127,            0.009127,            0.009127
                  99,            0.058338,            0.064079,           0.0008713,             0.78005,             0.62099,             0.67538,             0.35791,            0.049155,            0.059654,           0.0043932,            0.009118,            0.009118,            0.009118
                 100,            0.059275,             0.06281,           0.0010037,             0.74313,             0.64308,             0.68712,             0.37059,            0.048884,            0.059685,           0.0046588,            0.009109,            0.009109,            0.009109
                 101,            0.058526,            0.062496,          0.00081588,              0.7482,             0.64951,             0.69515,             0.37562,            0.049883,            0.062916,           0.0048959,              0.0091,              0.0091,              0.0091
                 102,            0.058803,            0.063195,          0.00082579,             0.74215,             0.65973,             0.69803,             0.38643,            0.049041,            0.057627,            0.004549,            0.009091,            0.009091,            0.009091
                 103,            0.058839,            0.062539,          0.00094337,             0.75751,             0.57412,             0.64553,             0.34914,            0.050187,            0.061325,           0.0044997,            0.009082,            0.009082,            0.009082
                 104,             0.05924,            0.060962,          0.00091619,             0.75506,             0.64605,             0.68849,             0.37489,            0.049661,            0.058772,            0.004552,            0.009073,            0.009073,            0.009073
                 105,            0.059008,             0.06201,          0.00095964,              0.7504,             0.58903,              0.6453,             0.35741,            0.049925,            0.064268,           0.0046933,            0.009064,            0.009064,            0.009064
                 106,            0.058309,            0.061653,          0.00083012,             0.75697,             0.61474,             0.66635,              0.3655,            0.050931,            0.062582,           0.0044594,            0.009055,            0.009055,            0.009055
                 107,            0.058203,            0.061507,          0.00084765,             0.76006,             0.64967,              0.7081,             0.38815,            0.048372,            0.059308,           0.0042143,            0.009046,            0.009046,            0.009046
                 108,            0.058856,             0.06146,          0.00086682,             0.75422,             0.62167,             0.68086,              0.3663,              0.0491,            0.060519,            0.004445,            0.009037,            0.009037,            0.009037
                 109,            0.058568,             0.06138,          0.00093212,             0.75678,             0.61412,             0.67704,             0.37751,             0.04902,            0.062025,           0.0046161,            0.009028,            0.009028,            0.009028
                 110,            0.059126,            0.060931,          0.00096033,             0.76779,              0.6074,             0.67597,             0.36907,            0.049371,            0.061474,           0.0045027,            0.009019,            0.009019,            0.009019
                 111,            0.058691,            0.062057,          0.00093384,              0.7541,             0.62296,             0.67913,             0.36771,            0.049242,            0.061302,           0.0048139,             0.00901,             0.00901,             0.00901
                 112,            0.058526,             0.06084,          0.00086395,             0.74527,             0.62791,             0.68108,             0.38159,            0.048326,            0.059599,           0.0041584,            0.009001,            0.009001,            0.009001
                 113,             0.05804,             0.06092,          0.00086633,             0.75315,             0.63956,               0.686,             0.37951,            0.048465,            0.060208,           0.0046495,            0.008992,            0.008992,            0.008992
                 114,            0.058777,            0.060144,          0.00088447,             0.73714,             0.59745,             0.65559,             0.35112,            0.049938,            0.063259,           0.0045938,            0.008983,            0.008983,            0.008983
                 115,            0.058061,            0.062502,           0.0008216,              0.7556,             0.64759,              0.6958,             0.37701,            0.049335,            0.061674,           0.0041792,            0.008974,            0.008974,            0.008974
                 116,            0.058385,            0.060842,          0.00086281,              0.7582,             0.61231,             0.66938,             0.37335,            0.048944,            0.065142,           0.0041576,            0.008965,            0.008965,            0.008965
                 117,            0.057755,            0.060612,          0.00080503,             0.75528,             0.64151,             0.69176,             0.38225,            0.048906,            0.061675,            0.004045,            0.008956,            0.008956,            0.008956
                 118,            0.057963,            0.060001,          0.00086033,             0.79185,             0.62179,             0.69406,             0.39394,            0.047911,            0.061136,            0.004123,            0.008947,            0.008947,            0.008947
                 119,            0.057946,            0.062085,          0.00082768,             0.74471,             0.62994,             0.68118,              0.3774,            0.050036,            0.062218,           0.0043641,            0.008938,            0.008938,            0.008938
                 120,            0.058046,            0.061567,          0.00087259,              0.7525,             0.63935,             0.69283,             0.38628,            0.047865,            0.059212,           0.0041776,            0.008929,            0.008929,            0.008929
                 121,            0.057327,            0.060823,          0.00081364,             0.75185,             0.64387,             0.69027,             0.38306,            0.048426,            0.062446,           0.0045549,             0.00892,             0.00892,             0.00892
                 122,            0.058153,            0.059559,          0.00089201,             0.76227,             0.64292,              0.6936,              0.3813,            0.049471,            0.061904,           0.0042208,            0.008911,            0.008911,            0.008911
                 123,            0.057949,             0.06011,          0.00080903,             0.75953,             0.63232,              0.6929,             0.37155,            0.049469,            0.061846,           0.0041502,            0.008902,            0.008902,            0.008902
                 124,            0.056895,            0.059511,          0.00078028,             0.77391,             0.64287,             0.69401,             0.38076,            0.048325,            0.062084,           0.0042056,            0.008893,            0.008893,            0.008893
                 125,            0.057297,            0.060071,           0.0007927,             0.78058,             0.57662,             0.64289,              0.3524,            0.049806,            0.064829,           0.0047162,            0.008884,            0.008884,            0.008884
                 126,            0.057763,            0.059747,          0.00083267,             0.76813,             0.60798,             0.67054,             0.37401,            0.048326,            0.062078,           0.0041857,            0.008875,            0.008875,            0.008875
                 127,            0.057493,            0.061888,          0.00085597,             0.75055,             0.63124,             0.68033,             0.37902,            0.048812,            0.065541,           0.0041274,            0.008866,            0.008866,            0.008866
                 128,            0.057264,            0.060524,          0.00080852,             0.76457,             0.59745,             0.65773,             0.36198,            0.048583,            0.063612,           0.0043055,            0.008857,            0.008857,            0.008857
                 129,            0.057304,            0.060302,          0.00076807,             0.78209,             0.62636,             0.69287,             0.37994,            0.048766,            0.062822,           0.0044243,            0.008848,            0.008848,            0.008848
