                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.89829,                 0.4273,                0.84627,                0.73933,                0.65743,                0.70432,                0.41477,                 1.3901,                  1.039,                 1.1567,               0.007525,               0.007525,               0.007525
                    127,                0.91498,                0.43282,                0.84382,                0.74067,                0.65711,                0.70468,                0.41516,                 1.3902,                 1.0349,                  1.152,              0.0075052,              0.0075052,              0.0075052
                    128,                  0.909,                  0.432,                0.84259,                0.74073,                0.65722,                0.70078,                0.41327,                 1.3891,                  1.082,                 1.1472,              0.0074854,              0.0074854,              0.0074854
                    129,                0.88937,                0.42492,                0.84466,                0.73912,                0.65501,                0.69678,                0.41041,                  1.398,                 1.1073,                  1.148,              0.0074656,              0.0074656,              0.0074656
                    130,                0.90613,                0.43122,                0.84528,                 0.7342,                0.66996,                0.70602,                0.41615,                 1.3821,                  1.045,                 1.1521,              0.0074458,              0.0074458,              0.0074458
                    131,                0.89817,                0.42613,                0.84604,                0.73294,                0.67076,                0.70221,                0.41232,                 1.3807,                 1.0466,                 1.1516,               0.007426,               0.007426,               0.007426
                    132,                0.89643,                0.42532,                0.84393,                0.73667,                0.66801,                0.69931,                0.41394,                 1.3818,                 1.0584,                 1.1493,              0.0074062,              0.0074062,              0.0074062
                    133,                0.88726,                0.42203,                0.84203,                0.75459,                0.65727,                0.70526,                0.41692,                 1.3853,                 1.0722,                 1.1495,              0.0073864,              0.0073864,              0.0073864
                    134,                0.88758,                0.42204,                0.84383,                 0.7638,                0.63742,                0.70037,                0.41535,                 1.3902,                 1.0803,                 1.1489,              0.0073666,              0.0073666,              0.0073666
                    135,                0.88741,                 0.4219,                0.84126,                0.75498,                0.64192,                0.69999,                0.41215,                 1.3886,                  1.095,                 1.1452,              0.0073468,              0.0073468,              0.0073468
